Species,Class,Diet,Habitat,Activity,Continent
Hedgehog,Mammal,Omnivore,Terrestrial,Diurnal,Eurasia
Civet,Mammal,Carnivore,Terrestrial,Nocturnal,Africa
Manatee,Mammal,Herbivore,Aquatic,Diurnal,Americas
Coati,Mammal,Omnivore,Terrestrial,Diurnal,Americas
Coyote,Mammal,Carnivore,Terrestrial,Diurnal,Americas
Springbok,Mammal,Herbivore,Terrestrial,Crepuscular,Africa
Dormouse,Mammal,Herbivore,Arboreal,Nocturnal,Eurasia
Springhare,Mammal,Herbivore,Terrestrial,Nocturnal,Africa
Tayra,Mammal,Carnivore,Arboreal,Diurnal,Americas
Porcupine,Mammal,Herbivore,Terrestrial,Nocturnal,Africa
Elephant,Mammal,Herbivore,Terrestrial,Crepuscular,Africa
HowlerMonkey,Mammal,Herbivore,Arboreal,Diurnal,Americas
RedPanda,Mammal,Herbivore,Arboreal,Diurnal,Eurasia
Beaver,Mammal,Herbivore,Aquatic,Diurnal,Eurasia
Tiger,Mammal,Carnivore,Terrestrial,Diurnal,Eurasia
GreatBittern,Avian,Carnivore,Aquatic,Nocturnal,Eurasia
Roadrunner,Avian,Carnivore,Terrestrial,Diurnal,Americas
Treecreeper,Avian,Carnivore,Arboreal,Diurnal,Eurasia
Finfoot,Avian,Carnivore,Aquatic,Nocturnal,Africa
BlackCrownedNightHeron,Avian,Carnivore,Aquatic,Nocturnal,Americas
GreatPotoo,Avian,Omnivore,Arboreal,Nocturnal,Americas
GreenPigeon,Avian,Herbivore,Arboreal,Diurnal,Africa
BarredOwlet,Avian,Omnivore,Arboreal,Nocturnal,Africa
PelsFishingOwl,Avian,Carnivore,Arboreal,Crepuscular,Africa
EagleOwl,Avian,Carnivore,Aquatic,Nocturnal,Eurasia
HarpyEagle,Avian,Carnivore,Arboreal,Diurnal,Americas
TawnyOwl,Avian,Carnivore,Arboreal,Crepuscular,Eurasia